id;kategoria;tekst;aktywny;waga;tagi
219;MOTYWACJA;Wszechświat prosi, żebyś w końcu kliknął „wyślij”.;TAK;1;coach
220;MOTYWACJA;Wszechświat ma dla Ciebie szansę, tylko bez instrukcji obsługi.;TAK;1;coach
221;MOTYWACJA;Wszechświat nie zna odpowiedzi, ale bardzo kibicuje.;TAK;1;coach
222;MOTYWACJA;Wszechświat twierdzi, że dzisiaj coś dowieziesz.;TAK;1;coach
223;MOTYWACJA;Los otwiera Ci drzwi, więc przestań stać przed nimi z instrukcją.;TAK;1;coach
224;MOTYWACJA;Los mówi „działaj”, co jest podejrzanie konkretne.;TAK;1;coach
225;MOTYWACJA;Los wierzy w Ciebie bardziej niż Twój kalendarz.;TAK;1;coach
226;MOTYWACJA;Los domaga się ruchu, choć sam nic nie robi.;TAK;1;coach
227;MOTYWACJA;Los aktualizuje Twój poziom odwagi.;TAK;1;coach
228;MOTYWACJA;Los przypomina, że wymówki nie są planem projektu.;TAK;1;coach
229;MOTYWACJA;Los prosi, żebyś w końcu kliknął „wyślij”.;TAK;1;coach
230;MOTYWACJA;Los ma dla Ciebie szansę, tylko bez instrukcji obsługi.;TAK;1;coach
231;MOTYWACJA;Los nie zna odpowiedzi, ale bardzo kibicuje.;TAK;1;coach
232;MOTYWACJA;Los twierdzi, że dzisiaj coś dowieziesz.;TAK;1;coach
233;MOTYWACJA;Twoje przyszłe ja otwiera Ci drzwi, więc przestań stać przed nimi z instrukcją.;TAK;1;coach
234;MOTYWACJA;Twoje przyszłe ja mówi „działaj”, co jest podejrzanie konkretne.;TAK;1;coach
235;MOTYWACJA;Twoje przyszłe ja wierzy w Ciebie bardziej niż Twój kalendarz.;TAK;1;coach
236;MOTYWACJA;Twoje przyszłe ja domaga się ruchu, choć sam nic nie robi.;TAK;1;coach
237;MOTYWACJA;Twoje przyszłe ja aktualizuje Twój poziom odwagi.;TAK;1;coach
238;MOTYWACJA;Twoje przyszłe ja przypomina, że wymówki nie są planem projektu.;TAK;1;coach
239;MOTYWACJA;Twoje przyszłe ja prosi, żebyś w końcu kliknął „wyślij”.;TAK;1;coach
240;MOTYWACJA;Twoje przyszłe ja ma dla Ciebie szansę, tylko bez instrukcji obsługi.;TAK;1;coach
241;MOTYWACJA;Twoje przyszłe ja nie zna odpowiedzi, ale bardzo kibicuje.;TAK;1;coach
242;MOTYWACJA;Twoje przyszłe ja twierdzi, że dzisiaj coś dowieziesz.;TAK;1;coach
243;MOTYWACJA;Twój wewnętrzny zwycięzca otwiera Ci drzwi, więc przestań stać przed nimi z instrukcją.;TAK;1;coach
244;MOTYWACJA;Twój wewnętrzny zwycięzca mówi „działaj”, co jest podejrzanie konkretne.;TAK;1;coach
245;MOTYWACJA;Twój wewnętrzny zwycięzca wierzy w Ciebie bardziej niż Twój kalendarz.;TAK;1;coach
246;MOTYWACJA;Twój wewnętrzny zwycięzca domaga się ruchu, choć sam nic nie robi.;TAK;1;coach
247;MOTYWACJA;Twój wewnętrzny zwycięzca aktualizuje Twój poziom odwagi.;TAK;1;coach
248;MOTYWACJA;Twój wewnętrzny zwycięzca przypomina, że wymówki nie są planem projektu.;TAK;1;coach
249;MOTYWACJA;Twój wewnętrzny zwycięzca prosi, żebyś w końcu kliknął „wyślij”.;TAK;1;coach
250;MOTYWACJA;Twój wewnętrzny zwycięzca ma dla Ciebie szansę, tylko bez instrukcji obsługi.;TAK;1;coach
251;MOTYWACJA;Twój wewnętrzny zwycięzca nie zna odpowiedzi, ale bardzo kibicuje.;TAK;1;coach
252;MOTYWACJA;Twój wewnętrzny zwycięzca twierdzi, że dzisiaj coś dowieziesz.;TAK;1;coach
253;MOTYWACJA;Twoja aura otwiera Ci drzwi, więc przestań stać przed nimi z instrukcją.;TAK;1;coach
254;MOTYWACJA;Twoja aura mówi „działaj”, co jest podejrzanie konkretne.;TAK;1;coach
255;MOTYWACJA;Twoja aura wierzy w Ciebie bardziej niż Twój kalendarz.;TAK;1;coach
256;MOTYWACJA;Twoja aura domaga się ruchu, choć sam nic nie robi.;TAK;1;coach
257;MOTYWACJA;Twoja aura aktualizuje Twój poziom odwagi.;TAK;1;coach
258;MOTYWACJA;Twoja aura przypomina, że wymówki nie są planem projektu.;TAK;1;coach
259;MOTYWACJA;Twoja aura prosi, żebyś w końcu kliknął „wyślij”.;TAK;1;coach
260;MOTYWACJA;Twoja aura ma dla Ciebie szansę, tylko bez instrukcji obsługi.;TAK;1;coach
261;MOTYWACJA;Twoja aura nie zna odpowiedzi, ale bardzo kibicuje.;TAK;1;coach
262;MOTYWACJA;Twoja aura twierdzi, że dzisiaj coś dowieziesz.;TAK;1;coach
263;MOTYWACJA;Twoja ambicja otwiera Ci drzwi, więc przestań stać przed nimi z instrukcją.;TAK;1;coach
264;MOTYWACJA;Twoja ambicja mówi „działaj”, co jest podejrzanie konkretne.;TAK;1;coach
265;MOTYWACJA;Twoja ambicja wierzy w Ciebie bardziej niż Twój kalendarz.;TAK;1;coach
266;MOTYWACJA;Twoja ambicja domaga się ruchu, choć sam nic nie robi.;TAK;1;coach
267;MOTYWACJA;Twoja ambicja aktualizuje Twój poziom odwagi.;TAK;1;coach
268;MOTYWACJA;Twoja ambicja przypomina, że wymówki nie są planem projektu.;TAK;1;coach
269;MOTYWACJA;Twoja ambicja prosi, żebyś w końcu kliknął „wyślij”.;TAK;1;coach
270;MOTYWACJA;Twoja ambicja ma dla Ciebie szansę, tylko bez instrukcji obsługi.;TAK;1;coach
271;MOTYWACJA;Twoja ambicja nie zna odpowiedzi, ale bardzo kibicuje.;TAK;1;coach
272;MOTYWACJA;Twoja ambicja twierdzi, że dzisiaj coś dowieziesz.;TAK;1;coach
273;MOTYWACJA;Twój plan na sukces otwiera Ci drzwi, więc przestań stać przed nimi z instrukcją.;TAK;1;coach
274;MOTYWACJA;Twój plan na sukces mówi „działaj”, co jest podejrzanie konkretne.;TAK;1;coach
275;MOTYWACJA;Twój plan na sukces wierzy w Ciebie bardziej niż Twój kalendarz.;TAK;1;coach
276;MOTYWACJA;Twój plan na sukces domaga się ruchu, choć sam nic nie robi.;TAK;1;coach
277;MOTYWACJA;Twój plan na sukces aktualizuje Twój poziom odwagi.;TAK;1;coach
278;MOTYWACJA;Twój plan na sukces przypomina, że wymówki nie są planem projektu.;TAK;1;coach
279;MOTYWACJA;Twój plan na sukces prosi, żebyś w końcu kliknął „wyślij”.;TAK;1;coach
280;MOTYWACJA;Twój plan na sukces ma dla Ciebie szansę, tylko bez instrukcji obsługi.;TAK;1;coach
281;MOTYWACJA;Twój plan na sukces nie zna odpowiedzi, ale bardzo kibicuje.;TAK;1;coach
282;MOTYWACJA;Twój plan na sukces twierdzi, że dzisiaj coś dowieziesz.;TAK;1;coach
283;MOTYWACJA;Twoja energia otwiera Ci drzwi, więc przestań stać przed nimi z instrukcją.;TAK;1;coach
284;MOTYWACJA;Twoja energia mówi „działaj”, co jest podejrzanie konkretne.;TAK;1;coach
285;MOTYWACJA;Twoja energia wierzy w Ciebie bardziej niż Twój kalendarz.;TAK;1;coach
286;MOTYWACJA;Twoja energia domaga się ruchu, choć sam nic nie robi.;TAK;1;coach
287;MOTYWACJA;Twoja energia aktualizuje Twój poziom odwagi.;TAK;1;coach
288;MOTYWACJA;Twoja energia przypomina, że wymówki nie są planem projektu.;TAK;1;coach
289;MOTYWACJA;Twoja energia prosi, żebyś w końcu kliknął „wyślij”.;TAK;1;coach
290;MOTYWACJA;Twoja energia ma dla Ciebie szansę, tylko bez instrukcji obsługi.;TAK;1;coach
291;MOTYWACJA;Twoja energia nie zna odpowiedzi, ale bardzo kibicuje.;TAK;1;coach
292;MOTYWACJA;Twoja energia twierdzi, że dzisiaj coś dowieziesz.;TAK;1;coach
293;OBRAŹ MNIE;Masz charyzmę paragonu fiskalnego.;TAK;1;roast
294;OBRAŹ MNIE;Jesteś jak „pomiń reklamę” bez przycisku.;TAK;1;roast
295;OBRAŹ MNIE;Twoje priorytety wyglądają jak losowanie Lotto.;TAK;1;roast
296;OBRAŹ MNIE;Masz talent do bycia zajętym bez niebezpieczeństwa zrobienia czegokolwiek.;TAK;1;roast
297;OBRAŹ MNIE;Gdyby chaos potrzebował rzecznika prasowego, dostałbyś etat.;TAK;1;roast
298;OBRAŹ MNIE;Jesteś jak bateria na 3%. Dużo emocji, mało perspektyw.;TAK;1;roast
299;OBRAŹ MNIE;Twoje pomysły są odważne. Szczególnie wobec braku przygotowania.;TAK;1;roast
300;OBRAŹ MNIE;Masz wyjątkowy dar: potrafisz zgubić wątek, który sam zacząłeś.;TAK;1;roast
301;OBRAŹ MNIE;Twoja lista zadań jest głównie archiwum niespełnionych obietnic.;TAK;1;roast
302;OBRAŹ MNIE;Jesteś jak wersja robocza człowieka, tylko ktoś przypadkiem kliknął publikuj.;TAK;1;roast
303;OBRAŹ MNIE;Twój plan jest jak Wi‑Fi w piwnicy: teoretycznie istnieje.;TAK;1;roast
304;OBRAŹ MNIE;Twój plan ma godziny otwarcia, których nikt nie zna.;TAK;1;roast
305;OBRAŹ MNIE;Twój plan działa głównie w wersji demonstracyjnej.;TAK;1;roast
306;OBRAŹ MNIE;Twój plan pojawia się wtedy, kiedy już jest po sprawie.;TAK;1;roast
307;OBRAŹ MNIE;Twój plan ma więcej przerw niż program telewizyjny.;TAK;1;roast
308;OBRAŹ MNIE;Twój plan wygląda dobrze tylko w prezentacji.;TAK;1;roast
309;OBRAŹ MNIE;Twój plan regularnie bierze urlop bez zgody przełożonego.;TAK;1;roast
310;OBRAŹ MNIE;Twój plan jest bardziej koncepcją niż usługą.;TAK;1;roast
311;OBRAŹ MNIE;Twój plan ma stabilność krzesła z jedną krótszą nogą.;TAK;1;roast
312;OBRAŹ MNIE;Twój plan zdecydowanie wymaga restartu.;TAK;1;roast
313;OBRAŹ MNIE;Twoja motywacja jest jak Wi‑Fi w piwnicy: teoretycznie istnieje.;TAK;1;roast
314;OBRAŹ MNIE;Twoja motywacja ma godziny otwarcia, których nikt nie zna.;TAK;1;roast
315;OBRAŹ MNIE;Twoja motywacja działa głównie w wersji demonstracyjnej.;TAK;1;roast
316;OBRAŹ MNIE;Twoja motywacja pojawia się wtedy, kiedy już jest po sprawie.;TAK;1;roast
317;OBRAŹ MNIE;Twoja motywacja ma więcej przerw niż program telewizyjny.;TAK;1;roast
318;OBRAŹ MNIE;Twoja motywacja wygląda dobrze tylko w prezentacji.;TAK;1;roast
319;OBRAŹ MNIE;Twoja motywacja regularnie bierze urlop bez zgody przełożonego.;TAK;1;roast
320;OBRAŹ MNIE;Twoja motywacja jest bardziej koncepcją niż usługą.;TAK;1;roast
321;OBRAŹ MNIE;Twoja motywacja ma stabilność krzesła z jedną krótszą nogą.;TAK;1;roast
322;OBRAŹ MNIE;Twoja motywacja zdecydowanie wymaga restartu.;TAK;1;roast
323;OBRAŹ MNIE;Twoja konsekwencja jest jak Wi‑Fi w piwnicy: teoretycznie istnieje.;TAK;1;roast
324;OBRAŹ MNIE;Twoja konsekwencja ma godziny otwarcia, których nikt nie zna.;TAK;1;roast
325;OBRAŹ MNIE;Twoja konsekwencja działa głównie w wersji demonstracyjnej.;TAK;1;roast
326;OBRAŹ MNIE;Twoja konsekwencja pojawia się wtedy, kiedy już jest po sprawie.;TAK;1;roast
327;OBRAŹ MNIE;Twoja konsekwencja ma więcej przerw niż program telewizyjny.;TAK;1;roast
328;OBRAŹ MNIE;Twoja konsekwencja wygląda dobrze tylko w prezentacji.;TAK;1;roast
329;OBRAŹ MNIE;Twoja konsekwencja regularnie bierze urlop bez zgody przełożonego.;TAK;1;roast
330;OBRAŹ MNIE;Twoja konsekwencja jest bardziej koncepcją niż usługą.;TAK;1;roast
331;OBRAŹ MNIE;Twoja konsekwencja ma stabilność krzesła z jedną krótszą nogą.;TAK;1;roast
332;OBRAŹ MNIE;Twoja konsekwencja zdecydowanie wymaga restartu.;TAK;1;roast
333;OBRAŹ MNIE;Twoje skupienie jest jak Wi‑Fi w piwnicy: teoretycznie istnieje.;TAK;1;roast
334;OBRAŹ MNIE;Twoje skupienie ma godziny otwarcia, których nikt nie zna.;TAK;1;roast
335;OBRAŹ MNIE;Twoje skupienie działa głównie w wersji demonstracyjnej.;TAK;1;roast
336;OBRAŹ MNIE;Twoje skupienie pojawia się wtedy, kiedy już jest po sprawie.;TAK;1;roast
337;OBRAŹ MNIE;Twoje skupienie ma więcej przerw niż program telewizyjny.;TAK;1;roast
338;OBRAŹ MNIE;Twoje skupienie wygląda dobrze tylko w prezentacji.;TAK;1;roast
339;OBRAŹ MNIE;Twoje skupienie regularnie bierze urlop bez zgody przełożonego.;TAK;1;roast
340;OBRAŹ MNIE;Twoje skupienie jest bardziej koncepcją niż usługą.;TAK;1;roast
341;OBRAŹ MNIE;Twoje skupienie ma stabilność krzesła z jedną krótszą nogą.;TAK;1;roast
342;OBRAŹ MNIE;Twoje skupienie zdecydowanie wymaga restartu.;TAK;1;roast
343;OBRAŹ MNIE;Twoja pewność siebie jest jak Wi‑Fi w piwnicy: teoretycznie istnieje.;TAK;1;roast
344;OBRAŹ MNIE;Twoja pewność siebie ma godziny otwarcia, których nikt nie zna.;TAK;1;roast
345;OBRAŹ MNIE;Twoja pewność siebie działa głównie w wersji demonstracyjnej.;TAK;1;roast
346;OBRAŹ MNIE;Twoja pewność siebie pojawia się wtedy, kiedy już jest po sprawie.;TAK;1;roast
347;OBRAŹ MNIE;Twoja pewność siebie ma więcej przerw niż program telewizyjny.;TAK;1;roast
348;OBRAŹ MNIE;Twoja pewność siebie wygląda dobrze tylko w prezentacji.;TAK;1;roast
349;OBRAŹ MNIE;Twoja pewność siebie regularnie bierze urlop bez zgody przełożonego.;TAK;1;roast
350;OBRAŹ MNIE;Twoja pewność siebie jest bardziej koncepcją niż usługą.;TAK;1;roast
351;OBRAŹ MNIE;Twoja pewność siebie ma stabilność krzesła z jedną krótszą nogą.;TAK;1;roast
352;OBRAŹ MNIE;Twoja pewność siebie zdecydowanie wymaga restartu.;TAK;1;roast
353;OBRAŹ MNIE;Twój rozsądek jest jak Wi‑Fi w piwnicy: teoretycznie istnieje.;TAK;1;roast
354;OBRAŹ MNIE;Twój rozsądek ma godziny otwarcia, których nikt nie zna.;TAK;1;roast
355;OBRAŹ MNIE;Twój rozsądek działa głównie w wersji demonstracyjnej.;TAK;1;roast
356;OBRAŹ MNIE;Twój rozsądek pojawia się wtedy, kiedy już jest po sprawie.;TAK;1;roast
357;OBRAŹ MNIE;Twój rozsądek ma więcej przerw niż program telewizyjny.;TAK;1;roast
358;OBRAŹ MNIE;Twój rozsądek wygląda dobrze tylko w prezentacji.;TAK;1;roast
359;OBRAŹ MNIE;Twój rozsądek regularnie bierze urlop bez zgody przełożonego.;TAK;1;roast
360;OBRAŹ MNIE;Twój rozsądek jest bardziej koncepcją niż usługą.;TAK;1;roast
361;OBRAŹ MNIE;Twój rozsądek ma stabilność krzesła z jedną krótszą nogą.;TAK;1;roast
362;OBRAŹ MNIE;Twój rozsądek zdecydowanie wymaga restartu.;TAK;1;roast
363;OBRAŹ MNIE;Twoja organizacja jest jak Wi‑Fi w piwnicy: teoretycznie istnieje.;TAK;1;roast
364;OBRAŹ MNIE;Twoja organizacja ma godziny otwarcia, których nikt nie zna.;TAK;1;roast
365;OBRAŹ MNIE;Twoja organizacja działa głównie w wersji demonstracyjnej.;TAK;1;roast
366;OBRAŹ MNIE;Twoja organizacja pojawia się wtedy, kiedy już jest po sprawie.;TAK;1;roast
367;OBRAŹ MNIE;Twoja organizacja ma więcej przerw niż program telewizyjny.;TAK;1;roast
368;OBRAŹ MNIE;Twoja organizacja wygląda dobrze tylko w prezentacji.;TAK;1;roast
369;OBRAŹ MNIE;Twoja organizacja regularnie bierze urlop bez zgody przełożonego.;TAK;1;roast
370;OBRAŹ MNIE;Twoja organizacja jest bardziej koncepcją niż usługą.;TAK;1;roast
371;OBRAŹ MNIE;Twoja organizacja ma stabilność krzesła z jedną krótszą nogą.;TAK;1;roast
372;OBRAŹ MNIE;Twoja organizacja zdecydowanie wymaga restartu.;TAK;1;roast
373;OBRAŹ MNIE;Twój zapał jest jak Wi‑Fi w piwnicy: teoretycznie istnieje.;TAK;1;roast
374;OBRAŹ MNIE;Twój zapał ma godziny otwarcia, których nikt nie zna.;TAK;1;roast
375;OBRAŹ MNIE;Twój zapał działa głównie w wersji demonstracyjnej.;TAK;1;roast
376;OBRAŹ MNIE;Twój zapał pojawia się wtedy, kiedy już jest po sprawie.;TAK;1;roast
377;OBRAŹ MNIE;Twój zapał ma więcej przerw niż program telewizyjny.;TAK;1;roast
378;OBRAŹ MNIE;Twój zapał wygląda dobrze tylko w prezentacji.;TAK;1;roast
379;OBRAŹ MNIE;Twój zapał regularnie bierze urlop bez zgody przełożonego.;TAK;1;roast
380;OBRAŹ MNIE;Twój zapał jest bardziej koncepcją niż usługą.;TAK;1;roast
381;OBRAŹ MNIE;Twój zapał ma stabilność krzesła z jedną krótszą nogą.;TAK;1;roast
382;OBRAŹ MNIE;Twój zapał zdecydowanie wymaga restartu.;TAK;1;roast
383;OBRAŹ MNIE;Twoja intuicja jest jak Wi‑Fi w piwnicy: teoretycznie istnieje.;TAK;1;roast
384;OBRAŹ MNIE;Twoja intuicja ma godziny otwarcia, których nikt nie zna.;TAK;1;roast
385;OBRAŹ MNIE;Twoja intuicja działa głównie w wersji demonstracyjnej.;TAK;1;roast
386;OBRAŹ MNIE;Twoja intuicja pojawia się wtedy, kiedy już jest po sprawie.;TAK;1;roast
387;OBRAŹ MNIE;Twoja intuicja ma więcej przerw niż program telewizyjny.;TAK;1;roast
388;OBRAŹ MNIE;Twoja intuicja wygląda dobrze tylko w prezentacji.;TAK;1;roast
389;OBRAŹ MNIE;Twoja intuicja regularnie bierze urlop bez zgody przełożonego.;TAK;1;roast
390;OBRAŹ MNIE;Twoja intuicja jest bardziej koncepcją niż usługą.;TAK;1;roast
391;OBRAŹ MNIE;Twoja intuicja ma stabilność krzesła z jedną krótszą nogą.;TAK;1;roast
392;OBRAŹ MNIE;Twoja intuicja zdecydowanie wymaga restartu.;TAK;1;roast
393;POGŁASZCZ MNIE;Nie musisz zasłużyć na odpoczynek. To nie program lojalnościowy.;TAK;1;wsparcie
394;POGŁASZCZ MNIE;Masz prawo mieć gorszy dzień bez robienia z niego diagnozy całego życia.;TAK;1;wsparcie
395;POGŁASZCZ MNIE;Nie wszystko, co Ci nie wyszło, mówi coś o Tobie. Czasem po prostu nie wyszło.;TAK;1;wsparcie
396;POGŁASZCZ MNIE;Nie musisz być zabawny, produktywny ani przydatny przez cały czas.;TAK;1;wsparcie
397;POGŁASZCZ MNIE;Nie jesteś spóźniony ze swoim życiem. Nie ma tablicy odjazdów.;TAK;1;wsparcie
398;POGŁASZCZ MNIE;Masz więcej ogarnięte, niż sugeruje liczba otwartych kart w przeglądarce.;TAK;1;wsparcie
399;POGŁASZCZ MNIE;Nie jesteś sumą swoich najbardziej żenujących pięciu minut.;TAK;1;wsparcie
400;POGŁASZCZ MNIE;Masz więcej dobrych cech niż rzeczy, które analizujesz o drugiej w nocy.;TAK;1;wsparcie
401;POGŁASZCZ MNIE;Jesteś wystarczająco interesujący bez robienia niczego spektakularnego.;TAK;1;wsparcie
402;POGŁASZCZ MNIE;To dobry moment, żeby potraktować siebie jak człowieka, którego lubisz.;TAK;1;wsparcie
403;POGŁASZCZ MNIE;Masz prawo odpocząć bez poczucia winy.;TAK;1;wsparcie
404;POGŁASZCZ MNIE;Masz prawo nie mieć gotowej odpowiedzi.;TAK;1;wsparcie
405;POGŁASZCZ MNIE;Masz prawo zmienić zdanie.;TAK;1;wsparcie
406;POGŁASZCZ MNIE;Masz prawo powiedzieć komuś „nie”.;TAK;1;wsparcie
407;POGŁASZCZ MNIE;Masz prawo cieszyć się z małego sukcesu.;TAK;1;wsparcie
408;POGŁASZCZ MNIE;Masz prawo zrobić coś tylko dla siebie.;TAK;1;wsparcie
409;POGŁASZCZ MNIE;Masz prawo nie odpowiadać od razu.;TAK;1;wsparcie
410;POGŁASZCZ MNIE;Masz prawo poprosić o pomoc.;TAK;1;wsparcie
411;POGŁASZCZ MNIE;Masz prawo odpuścić coś, co Ci nie służy.;TAK;1;wsparcie
412;POGŁASZCZ MNIE;Masz prawo być z siebie zadowolonym bez porównania do innych.;TAK;1;wsparcie
413;POGŁASZCZ MNIE;Naprawdę możesz odpocząć bez poczucia winy.;TAK;1;wsparcie
414;POGŁASZCZ MNIE;Naprawdę możesz nie mieć gotowej odpowiedzi.;TAK;1;wsparcie
415;POGŁASZCZ MNIE;Naprawdę możesz zmienić zdanie.;TAK;1;wsparcie
416;POGŁASZCZ MNIE;Naprawdę możesz powiedzieć komuś „nie”.;TAK;1;wsparcie
417;POGŁASZCZ MNIE;Naprawdę możesz cieszyć się z małego sukcesu.;TAK;1;wsparcie
418;POGŁASZCZ MNIE;Naprawdę możesz zrobić coś tylko dla siebie.;TAK;1;wsparcie
419;POGŁASZCZ MNIE;Naprawdę możesz nie odpowiadać od razu.;TAK;1;wsparcie
420;POGŁASZCZ MNIE;Naprawdę możesz poprosić o pomoc.;TAK;1;wsparcie
421;POGŁASZCZ MNIE;Naprawdę możesz odpuścić coś, co Ci nie służy.;TAK;1;wsparcie
422;POGŁASZCZ MNIE;Naprawdę możesz być z siebie zadowolonym bez porównania do innych.;TAK;1;wsparcie
423;POGŁASZCZ MNIE;Dzisiaj wolno Ci odpocząć bez poczucia winy.;TAK;1;wsparcie
424;POGŁASZCZ MNIE;Dzisiaj wolno Ci nie mieć gotowej odpowiedzi.;TAK;1;wsparcie
425;POGŁASZCZ MNIE;Dzisiaj wolno Ci zmienić zdanie.;TAK;1;wsparcie
426;POGŁASZCZ MNIE;Dzisiaj wolno Ci powiedzieć komuś „nie”.;TAK;1;wsparcie
427;POGŁASZCZ MNIE;Dzisiaj wolno Ci cieszyć się z małego sukcesu.;TAK;1;wsparcie
428;POGŁASZCZ MNIE;Dzisiaj wolno Ci zrobić coś tylko dla siebie.;TAK;1;wsparcie
429;POGŁASZCZ MNIE;Dzisiaj wolno Ci nie odpowiadać od razu.;TAK;1;wsparcie
430;POGŁASZCZ MNIE;Dzisiaj wolno Ci poprosić o pomoc.;TAK;1;wsparcie
431;POGŁASZCZ MNIE;Dzisiaj wolno Ci odpuścić coś, co Ci nie służy.;TAK;1;wsparcie
432;POGŁASZCZ MNIE;Dzisiaj wolno Ci być z siebie zadowolonym bez porównania do innych.;TAK;1;wsparcie
433;POGŁASZCZ MNIE;Nic się nie stanie, jeśli postanowisz odpocząć bez poczucia winy.;TAK;1;wsparcie
434;POGŁASZCZ MNIE;Nic się nie stanie, jeśli postanowisz nie mieć gotowej odpowiedzi.;TAK;1;wsparcie
435;POGŁASZCZ MNIE;Nic się nie stanie, jeśli postanowisz zmienić zdanie.;TAK;1;wsparcie
436;POGŁASZCZ MNIE;Nic się nie stanie, jeśli postanowisz powiedzieć komuś „nie”.;TAK;1;wsparcie
437;POGŁASZCZ MNIE;Nic się nie stanie, jeśli postanowisz cieszyć się z małego sukcesu.;TAK;1;wsparcie
438;POGŁASZCZ MNIE;Nic się nie stanie, jeśli postanowisz zrobić coś tylko dla siebie.;TAK;1;wsparcie
439;POGŁASZCZ MNIE;Nic się nie stanie, jeśli postanowisz nie odpowiadać od razu.;TAK;1;wsparcie
440;POGŁASZCZ MNIE;Nic się nie stanie, jeśli postanowisz poprosić o pomoc.;TAK;1;wsparcie
441;POGŁASZCZ MNIE;Nic się nie stanie, jeśli postanowisz odpuścić coś, co Ci nie służy.;TAK;1;wsparcie
442;POGŁASZCZ MNIE;Nic się nie stanie, jeśli postanowisz być z siebie zadowolonym bez porównania do innych.;TAK;1;wsparcie
443;POGŁASZCZ MNIE;Świat się nie zawali, gdy zdecydujesz się odpocząć bez poczucia winy.;TAK;1;wsparcie
444;POGŁASZCZ MNIE;Świat się nie zawali, gdy zdecydujesz się nie mieć gotowej odpowiedzi.;TAK;1;wsparcie
445;POGŁASZCZ MNIE;Świat się nie zawali, gdy zdecydujesz się zmienić zdanie.;TAK;1;wsparcie
446;POGŁASZCZ MNIE;Świat się nie zawali, gdy zdecydujesz się powiedzieć komuś „nie”.;TAK;1;wsparcie
447;POGŁASZCZ MNIE;Świat się nie zawali, gdy zdecydujesz się cieszyć się z małego sukcesu.;TAK;1;wsparcie
448;POGŁASZCZ MNIE;Świat się nie zawali, gdy zdecydujesz się zrobić coś tylko dla siebie.;TAK;1;wsparcie
449;POGŁASZCZ MNIE;Świat się nie zawali, gdy zdecydujesz się nie odpowiadać od razu.;TAK;1;wsparcie
450;POGŁASZCZ MNIE;Świat się nie zawali, gdy zdecydujesz się poprosić o pomoc.;TAK;1;wsparcie
451;POGŁASZCZ MNIE;Świat się nie zawali, gdy zdecydujesz się odpuścić coś, co Ci nie służy.;TAK;1;wsparcie
452;POGŁASZCZ MNIE;Świat się nie zawali, gdy zdecydujesz się być z siebie zadowolonym bez porównania do innych.;TAK;1;wsparcie
453;POGŁASZCZ MNIE;Możesz bez wyrzutów sumienia odpocząć bez poczucia winy.;TAK;1;wsparcie
454;POGŁASZCZ MNIE;Możesz bez wyrzutów sumienia nie mieć gotowej odpowiedzi.;TAK;1;wsparcie
455;POGŁASZCZ MNIE;Możesz bez wyrzutów sumienia zmienić zdanie.;TAK;1;wsparcie
456;POGŁASZCZ MNIE;Możesz bez wyrzutów sumienia powiedzieć komuś „nie”.;TAK;1;wsparcie
457;POGŁASZCZ MNIE;Możesz bez wyrzutów sumienia cieszyć się z małego sukcesu.;TAK;1;wsparcie
458;POGŁASZCZ MNIE;Możesz bez wyrzutów sumienia zrobić coś tylko dla siebie.;TAK;1;wsparcie
459;POGŁASZCZ MNIE;Możesz bez wyrzutów sumienia nie odpowiadać od razu.;TAK;1;wsparcie
460;POGŁASZCZ MNIE;Możesz bez wyrzutów sumienia poprosić o pomoc.;TAK;1;wsparcie
461;POGŁASZCZ MNIE;Możesz bez wyrzutów sumienia odpuścić coś, co Ci nie służy.;TAK;1;wsparcie
462;POGŁASZCZ MNIE;Możesz bez wyrzutów sumienia być z siebie zadowolonym bez porównania do innych.;TAK;1;wsparcie
463;POGŁASZCZ MNIE;Serio możesz odpocząć bez poczucia winy.;TAK;1;wsparcie
464;POGŁASZCZ MNIE;Serio możesz nie mieć gotowej odpowiedzi.;TAK;1;wsparcie
465;POGŁASZCZ MNIE;Serio możesz zmienić zdanie.;TAK;1;wsparcie
466;POGŁASZCZ MNIE;Serio możesz powiedzieć komuś „nie”.;TAK;1;wsparcie
467;POGŁASZCZ MNIE;Serio możesz cieszyć się z małego sukcesu.;TAK;1;wsparcie
468;POGŁASZCZ MNIE;Serio możesz zrobić coś tylko dla siebie.;TAK;1;wsparcie
469;POGŁASZCZ MNIE;Serio możesz nie odpowiadać od razu.;TAK;1;wsparcie
470;POGŁASZCZ MNIE;Serio możesz poprosić o pomoc.;TAK;1;wsparcie
471;POGŁASZCZ MNIE;Serio możesz odpuścić coś, co Ci nie służy.;TAK;1;wsparcie
472;POGŁASZCZ MNIE;Serio możesz być z siebie zadowolonym bez porównania do innych.;TAK;1;wsparcie
473;TAK CZY NIE;TAK. Przestań negocjować z odpowiedzią.;TAK;1;decyzje
474;TAK CZY NIE;NIE. Tym razem naprawdę nie.;TAK;1;decyzje
475;TAK CZY NIE;TAK. Ale bez robienia z tego trzyletniego projektu.;TAK;1;decyzje
476;TAK CZY NIE;NIE. Twoja intuicja właśnie odetchnęła.;TAK;1;decyzje
477;TAK CZY NIE;TAK. Zrób to zanim zaczniesz wymyślać powody, żeby nie.;TAK;1;decyzje
478;TAK CZY NIE;NIE. Jeśli szukałeś znaku, właśnie go znalazłeś.;TAK;1;decyzje
